pub_date|subcategory|title|tags_list|url
20241207|Speeches & testimony|19th China (Shenzhen) International Derivatives Forum: Scott O’Malia Keynote Remarks|Asia-Pacific,Basel III,Capital,China,Fundamental Review of the Trading Book (FRTB),ISDA Future Leaders in Derivatives (IFLD),ISDA SIMM,Margin|https://www.isda.org/2024/12/07/19th-china-shenzhen-international-derivatives-forum-scott-omalia-keynote-remarks/
20241011|Speeches & testimony|ISDA Derivatives Trading Forum: Eric Litvack Chairman Remarks|Basel Committee on Banking Supervision,Common Domain Model (CDM),Financial Stability Board (FSB),ISDA SIMM,Margin,Non-bank Financial Intermediation (NBFI)|https://www.isda.org/2024/10/11/isda-derivatives-trading-forum-eric-litvack-chairman-remarks/
20240919|ISDA SIMM|ISDA Publishes ISDA SIMM® Methodology, Version 2.7|Initial Margin|https://www.isda.org/2024/09/19/isda-publishes-isda-simm-methodology-version-2-7/
20240708|Europe|Trade Associations Submit Letter on EMIR IM Model Validation|EMIR,European Union (EU),Initial Margin,ISDA SIMM,Margin|https://www.isda.org/2024/07/08/trade-associations-submit-letter-on-emir-im-model-validation/
20240528|ISDA SIMM|ISDA SIMM™ Phase 5 and 6 License Agreement|Initial Margin|https://www.isda.org/2024/05/28/isda-simm-phase-5-license-agreement/
20240528|ISDA SIMM|ISDA SIMM® Phase 5 and 6 License Agreement|Initial Margin|https://www.isda.org/2024/05/28/isda-simm-phase-5-license-agreement/
20240502|derivatiViews|Margin Transparency Will Help Market Resilience|Basel Committee on Banking Supervision,CCPs,Clearing,CPMI,Initial Margin,IOSCO,ISDA SIMM,Margin,Procyclicality|https://www.isda.org/2024/05/02/margin-transparency-will-help-market-resilience/
20240417|Speeches & testimony|ISDA AGM 2024: Day 2 Scott O’Malia Opening Remarks|Clearing,EMIR,ISDA SIMM,Margin|https://www.isda.org/2024/04/17/isda-agm-2024-day-2-scott-omalia-opening-remarks/
20240416|Speeches & testimony|ISDA AGM 2024: Day 1 Scott O’Malia Opening Remarks|Basel III,Capital,Credit Valuation Adjustment (CVA),Digital Regulatory Reporting (DRR),Digitization,Fundamental Review of the Trading Book (FRTB),FX Definitions,ISDA Notices Hub,ISDA SIMM,MyLibrary|https://www.isda.org/2024/04/16/isda-agm-2024-day-1-scott-omalia-opening-remarks/
20231218|IQ|Digital Transformation – IQ December 2023|Common Domain Model (CDM),Digital Regulatory Reporting (DRR),Digitization,ESMA,ISDA Analytics,ISDA Create,ISDA Notices Hub,ISDA SIMM,MyLibrary,Regulation,Reporting,Transparency|https://www.isda.org/2023/12/18/digital-transformation-iq-december-2023/
20231213|IQ|International Banker: Common Problems, Mutualized Solutions|Documentation,Initial Margin,ISDA Notices Hub,ISDA SIMM|https://www.isda.org/2023/12/13/international-banker-common-problems-mutualized-solutions/
20231115|Press Releases|ISDA Wins Regulation Asia’s Industry Association of the Year Award|Benchmarks,Digital Regulatory Reporting (DRR),Digitization,ISDA SIMM,LIBOR,Margin,MyLibrary|https://www.isda.org/2023/11/15/isda-wins-regulation-asias-industry-association-of-the-year-award/
20231019|Europe|Response to PRA and FCA on Margin Requirements|Europe,Initial Margin,ISDA SIMM|https://www.isda.org/2023/10/19/response-to-pra-and-fca-on-margin-requirements/
20231004|ISDA SIMM|Letters to EU Authorities on Final Draft RTS on Initial Margin Model Validation|European Banking Authority (EBA),European Commission (EC),IM|https://www.isda.org/2023/10/04/letters-to-eu-authorities-on-final-draft-rts-on-initial-margin-model-validation/
20230927|Speeches & testimony|ISDA Derivatives Trading Forum Hong Kong: Scott O’Malia Opening Remarks|China,Common Domain Model (CDM),Derivatives,Digitization,Hong Kong,ISDA Create,ISDA SIMM|https://www.isda.org/2023/09/27/isda-derivatives-trading-forum-hong-kong-scott-omalia-opening-remarks/
20230915|ISDA SIMM|ISDA Publishes ISDA SIMM® Methodology, Version 2.6|Initial Margin,ISDA SIMM|https://www.isda.org/2023/09/15/isda-publishes-isda-simm-methodology-version-2-6/
20230915|ISDA SIMM|ISDA publishes ISDA SIMM® Methodology, version 2.6|Initial Margin,ISDA SIMM|https://www.isda.org/2023/09/15/isda-publishes-isda-simm-methodology-version-2-6/
20230907|derivatiViews|ISDA SIMM to Move to Semiannual Calibration|Collateral,Initial Margin,ISDA SIMM,Margin|https://www.isda.org/2023/09/07/isda-simm-to-move-to-semiannual-calibration/
20230511|Speeches & testimony|ISDA AGM 2023: Eric Litvack Chairman Remarks|CDM,Clearing,Collateral,Commodity,Fundamental Review of the Trading Book (FRTB),ISDA SIMM,Liquidity Risk,Risk and Capital|https://www.isda.org/2023/05/11/isda-agm-2023-eric-litvack-chairman-remarks/
